circulating_supply,id,last_updated,market_cap,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price,rank,symbol,total_supply,volume_24h,website_slug
17138575.0,1,1531081965.0,116677533357.0,21000000.0,Bitcoin,0.21,2.95,7.11,6807.89,1,BTC,17138575.0,3584920000.0,bitcoin
31112958.0,10,1531081944.0,178664.0,,Freicoin,0.12,,23.23,0.00574242,1196,FRC,100000000.0,159.831,freicoin
,101,1531081944.0,,,KlondikeCoin,0.12,21.02,3.57,0.0110795,1562,KDC,,26.9692,klondikecoin
74107896.0,103,1531081943.0,85111.0,,RedCoin,0.12,-7.57,-4.44,0.00114848,1264,RED,74107896.0,97.6741,redcoin
10497542822.0,109,1531081944.0,414120716.0,21000000000.0,DigiByte,0.71,17.84,56.29,0.0394493,35,DGB,10497542822.0,17366000.0,digibyte
24732507.0,113,1531081944.0,240612.0,,SmartCoin,-3.12,-6.44,7.07,0.00972857,1166,SMC,24732507.0,205.14,smartcoin
75829008.0,114,1531081943.0,1690539.0,,TeslaCoin,0.12,22.19,9.04,0.0222941,1028,TES,75829008.0,190.42,teslacoin
2330769841.0,117,1531081943.0,944771.0,,NobleCoin,0.12,3.31,-16.6,0.000405347,1053,NOBL,2330769841.0,130.431,noblecoin
28808713174.0,118,1531081943.0,142071321.0,,ReddCoin,-0.21,6.58,2.61,0.00493154,73,RDD,28808713174.0,2263570.0,reddcoin
322805606.0,120,1531081945.0,328048.0,337000000.0,Nyancoin,0.12,-2.87,0.94,0.00101624,1143,NYAN,322805606.0,16.4058,nyancoin
47776744.0,121,1531081942.0,213028.0,,UltraCoin,0.12,-3.97,22.68,0.00445882,1179,UTC,47776744.0,115.271,ultracoin
220239081.0,122,1531081942.0,12508192.0,420000000.0,PotCoin,0.38,5.92,8.9,0.0567937,402,POT,220239081.0,11615.0,potcoin
18695243.0,125,1531081942.0,243575.0,,Blakecoin,0.12,1.99,4.89,0.0130287,1164,BLC,18695243.0,143.77,blakecoin
61445805.0,128,1531081945.0,4254698.0,,MaxCoin,-2.22,3.9,-4.27,0.0692431,625,MAX,61445805.0,2952.8,maxcoin
248962683.0,129,1531081945.0,454123.0,,QubitCoin,-3.45,-0.38,2.85,0.00182406,1106,Q2C,248962683.0,61.683,qubitcoin
21006032.0,13,1531081942.0,2305118.0,,Ixcoin,-0.3,-2.12,5.03,0.109736,746,IXC,21006032.0,2227.34,ixcoin
22877680.0,130,1531081943.0,1321461.0,,HunterCoin,0.12,11.74,22.99,0.057762,810,HUC,22877680.0,5655.3,huntercoin
8183542.0,131,1531081942.0,2014517874.0,18900000.0,Dash,1.06,3.46,5.16,246.167,14,DASH,8183542.0,151863000.0,dash
2616192.0,132,1531081943.0,21104589.0,,Counterparty,1.68,4.5,8.4,8.06691,291,XCP,2616192.0,104404.0,counterparty
4195132.0,134,1531081942.0,56966.0,10000000.0,CacheCoin,0.12,0.1,-10.67,0.0135791,1289,CACH,4195132.0,118.743,cachecoin
,135,1531081945.0,,,TopCoin,0.12,,6.19,0.000878253,1561,TOP,41643721.0,28.1812,topcoin
29799481.0,138,1531081942.0,157029.0,,iCoin,0.12,3.31,29.99,0.00526952,1210,ICN,29799481.0,69.2334,icoin
37920.0,14,1531081942.0,414939.0,,BitBar,-6.81,3.31,5.11,10.9425,1118,BTB,37920.0,226.508,bitbar
24947260808.0,141,1531081943.0,5054165.0,,Mintcoin,0.11,46.97,24.15,0.000202594,584,MINT,24947260808.0,805.723,mintcoin
232432480.0,142,1531081942.0,314053.0,,Aricoin,0.12,3.31,1.58,0.00135116,1147,ARI,232432480.0,50.8478,aricoin
116845228.0,145,1531081945.0,2212605.0,,DopeCoin,1.65,0.48,10.83,0.0189362,751,DOPE,116845228.0,2001.79,dopecoin
8658139.0,148,1531081942.0,3803728.0,,Auroracoin,1.53,1.39,13.33,0.439324,651,AUR,8658139.0,2094.89,auroracoin
,150,1531081942.0,,,Animecoin,0.12,-1.17,-10.28,0.00695847,1512,ANI,,1841.03,animecoin
134702424.0,151,1531081942.0,2952529.0,,Pesetacoin,-2.62,-0.33,6.42,0.0219189,691,PTC,134702424.0,876.072,pesetacoin
28279074.0,154,1531081945.0,219705.0,,Marscoin,-0.02,-0.17,-5.15,0.00776916,1173,MARS,28279074.0,106.284,marscoin
47675905.0,159,1531081942.0,434898.0,,Cashcoin,0.12,16.24,-1.2,0.00912197,920,CASH,47675905.0,47969.2,cashcoin
